                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 0.7019,                0.81391,                 1.2302,                0.92572,                0.92667,                0.95733,                 0.8653,                0.49008,                0.41633,                0.89401,               0.001189,               0.001189,               0.001189
                     91,                0.63662,                0.62685,                 1.2772,                0.92451,                0.92923,                0.95719,                0.86642,                0.48582,                0.41865,                0.89192,                0.00109,                0.00109,                0.00109
                     92,                0.62675,                0.59705,                 1.2715,                0.93117,                0.92287,                0.95801,                0.86568,                0.48295,                0.42053,                0.88925,               0.000991,               0.000991,               0.000991
                     93,                 0.6199,                0.58004,                 1.2636,                0.93396,                0.92197,                0.95948,                0.86697,                0.48048,                0.42104,                0.88706,               0.000892,               0.000892,               0.000892
                     94,                0.60819,                0.56273,                 1.2536,                0.93693,                0.92258,                0.95973,                0.86818,                0.47884,                0.41732,                0.88497,               0.000793,               0.000793,               0.000793
                     95,                0.60685,                0.55607,                 1.2563,                0.93903,                0.92178,                0.96024,                0.86963,                0.47854,                0.41743,                0.88427,               0.000694,               0.000694,               0.000694
                     96,                0.60227,                0.54681,                 1.2504,                0.93471,                0.92329,                0.96031,                0.86988,                0.47756,                0.41533,                 0.8829,               0.000595,               0.000595,               0.000595
                     97,                0.59322,                0.53729,                  1.242,                0.93245,                0.92232,                0.96022,                0.87024,                0.47681,                0.41417,                0.88209,               0.000496,               0.000496,               0.000496
                     98,                0.59499,                0.52932,                 1.2446,                 0.9322,                0.92221,                0.95985,                0.86944,                0.47685,                0.41418,                0.88261,               0.000397,               0.000397,               0.000397
                     99,                0.58851,                0.52327,                 1.2396,                0.93025,                0.92383,                0.95903,                0.86839,                0.47713,                0.41366,                0.88305,               0.000298,               0.000298,               0.000298
                    100,                0.58319,                 0.5155,                 1.2326,                0.92818,                0.92458,                0.95956,                0.86858,                 0.4774,                0.41349,                0.88368,               0.000199,               0.000199,               0.000199
